"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","ID"
"Lepidium strictum",1,1,"Lepidium strictum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5376643","Lepidium strictum","Lepidium strictum",8617
"Lepidium virginicum",1,1,"Lepidium virginicum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5376648","Lepidium virginicum","Lepidium virginicum",8618
"Lepidium virginicum",1,1,"Lepidium virginicum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5376648","Lepidium virginicum","Lepidium virginicum subsp. menziesii",8619
"Cyanoplax hartwegii",0,1,"Cyanoplax hartwegii","Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","gbif","GBIF:4305098","Lepidochitona hartwegii","Lepidochitona hartwegii",8620
"Lepidopsetta bilineata",0,1,"Lepidopsetta bilineata","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","gbif","GBIF:5213939","Lepidopsetta bilineata","Lepidopsetta bilineata",8621
"Lepidopsetta polyxystra",1,0,"Lepidopsetta polyxystra","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","gbif","GBIF:5213938","Lepidopsetta polyxystra","Lepidopsetta polyxystra",8622
"Lepidopsetta sp.",1,1,"Lepidopsetta sp.","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Bioshifts_v1",NA,"Lepidopsetta sp.","Lepidopsetta sp.",8623
"Lepidopus caudatus",1,1,"Lepidopus caudatus","Animalia","Chordata","Actinopterygii","Perciformes","Trichiuridae","gbif","GBIF:5210267","Lepidopus caudatus","Lepidopus caudatus",8624
"Lepidorhombus boscii",1,1,"Lepidorhombus boscii","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","gbif","GBIF:2409395","Lepidorhombus boscii","Lepidorhombus boscii",8625
"Lepidorhombus whiffiagonis",1,1,"Lepidorhombus whiffiagonis","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","gbif","GBIF:2409391","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis",8626
"Lepidospartum latisquamum",1,1,"Lepidospartum latisquamum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3109545","Lepidospartum latisquamum","Lepidospartum latisquamum",8627
"Lepidospartum squamatum",1,1,"Lepidospartum squamatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3109547","Lepidospartum squamatum","Lepidospartum squamatum",8628
"Lepidothrix coeruleocapilla",1,0,"Lepidothrix coeruleocapilla","Animalia","Chordata","Aves","Passeriformes","Pipridae","gbif","GBIF:5230527","Lepidothrix caeroleocapilla","Lepidothrix caeroleocapilla",8629
"Lepidothrix coeruleocapilla",0,1,"Lepidothrix coeruleocapilla","Animalia","Chordata","Aves","Passeriformes","Pipridae","gbif","GBIF:5230527","Lepidothrix coeruleocapilla","Lepidothrix coeruleocapilla",8630
