"Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm"
"A46_P1","Rivadeneira_Fernandez_2005_JB","https://www.jstor.org/stable/3566403",-72.04103,-30.67263,153937.62,2895.48,NA,NA,NA,NA
"A47_P1","Perry_al_2005_Science","10.1126/science.1111322",3.4103,56.81581,518977.17,862.36,NA,NA,NA,NA
"A48_P1","Mieszkowska_al_2006_Hydrobiologia","10.1007/s10750-005-1120-6",-3.94278,54.7814,56434.43,896.5,1749,0,1749,152.27
"A49_P1","Moritz_al_2008_Science","10.1126/science.1163428",-119.86274,37.68161,6334.97,87.8,4088.99,3.14,4092.13,5
"A5_P1","Bergamini_al_2009_DD","10.1111/j.1472-4642.2009.00595.x",8.22496,46.79806,41170.84,212.86,4525.57,160.52,4686.09,1196.06
"A51_P1","Harris_al_2012_RBZ","n/a",116.5626,6.07545,226.2,17.87,3567.62,427.4,3995.01,472.13
"A52_P1","Poloczanska_al_2011_JEMBE","10.1016/j.jembe.2011.02.018",152.62469,-29.59926,7483.29,1296.32,NA,NA,NA,NA
"A53_P1","Nye_al_2009_MEPS","10.3354/meps08220",-68.61873,42.90333,81040.38,361.5,NA,NA,NA,NA
"A53_P2","Nye_al_2009_MEPS","10.3354/meps08220",-71.6708,39.71171,175594.28,797.83,NA,NA,NA,NA
"A54_P1","Mueter_Litzow_2008_EA","10.1890/07-0564.1",-168.06525,58.23821,559768.17,672.77,NA,NA,NA,NA
"A55_P1","Rowe_et_al_2014_PRSB","10.1098/rspb.2014.1857",-121.43638,40.31412,28173.89,119.35,4380.26,34.5,4414.76,44.26
"A55_P2","Rowe_et_al_2014_PRSB","10.1098/rspb.2014.1857",-119.98513,37.87092,15695.88,93.05,3895.96,0,3895.96,2.96
"A55_P3","Rowe_et_al_2014_PRSB","10.1098/rspb.2014.1857",-118.88128,36.30445,45599.5,277.69,4324.31,0,4324.31,0
"A56_P1","Nicolas_al_2011_REC","10.1007/s10113-010-0196-3",-3.94071,50.16471,3011.49,2187.52,NA,NA,NA,NA
"A56_P2","Nicolas_al_2011_REC","10.1007/s10113-010-0196-3",-3.94071,50.16471,3011.49,2187.52,NA,NA,NA,NA
"A57_P1","Jump_al_2012_Ecography","10.1111/j.1600-0587.2011.06984.x",120.97066,23.75014,35930.34,405.87,3812.85,0,3812.85,769.83
"A58_P1","LeRoux_al_2008_GCB","10.1111/j.1365-2486.2008.01687.x",37.74784,-46.9088,290.75,16.36,1189.06,0,1189.06,358.51
"A59_P1","Virkkala_al_2014_BC","10.1016/j.biocon.2014.01.041",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A6_P1","Bodin_al_2013_JVS","10.1111/j.1654-1103.2012.01456.x",5.53874,43.9407,59957.94,439.11,3911.58,0,3911.58,685.33
"A60_P1","Menendez_al_2014_GEB","10.1111/geb.12142",6.57229,44.03908,1041.19,56.94,2430.65,465.62,2896.27,1811.65
"A60_P2","Menendez_al_2014_GEB","10.1111/geb.12142",-3.42842,37.13265,29.27,8.15,1676.61,827.41,2504.02,854.2
"A61_P1","Baur_Baur_2013_CJZ","10.1139/cjz-2013-0036",10.17264,46.65908,170.37,20.9,1708.12,1335.69,3043.81,2240.46
"A62_P1","Larrucea_Brussard_2008_JArE","10.1016/j.jaridenv.2008.04.002",-118.67195,40.13523,133523.6,422.79,4414.76,0,4414.76,1630.04
"A63_P1","Paprocki_al_2014_PLoSOne","10.1371/journal.pone.0086814",-112.63303,42.47642,4018068.9,2627.1,5044.43,0,5044.43,941.54
"A64_P1","Urli_al_2014_JVS","10.1111/jvs.12079",0.92468,42.3043,31959.78,165.03,3251.18,0,3251.18,756.78
"A64_P2","Urli_al_2014_JVS","10.1111/jvs.12079",-1.80033,40.9421,61785.48,313.84,2245.34,0,2245.34,940.43
