PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
41;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;USA;Altamaha River;37;0.136;Population;1;;6;0.637;NA;5.1;NA;31.335213;-81.393757;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
42;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;USA;Hudson River;54;0.123;Population;1;;6;0.616;NA;7.1;NA;41.049393;-73.895416;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
43;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;CAN;St John River;39;0.122;Population;1;;6;0.563;NA;6.4;NA;45.318615;-66.178551;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
44;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;CAN;St Lawrence;39;0.178;Population;1;;6;0.443;NA;4.6;NA;48.607732;-68.779907;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
45;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Gulf sturgeon;NAm;USA;Suwannee River;44;0.257;Population;1;;6;0.464;NA;5.3;NA;29.316987;-83.113117;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
46;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Albany River;42;0.09;Population;1;;11;0.446;0.518;3.222;2.7;50.557877;-89.412401;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
47;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Berens Lake;12;0.28;Population;1;;11;0.287;0.3;2.444;2.18;51.77378;-93.68039;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
48;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Chippewa  River ;49;0.11;Population;1;;11;0.446;0.439;4.222;2.94;44.939711;-91.34305;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
49;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Lake of the Woods/Rainy River;94;0.1;Population;2;Middle;11;0.372;0.45;3.833;2.87;49.570327;-94.506714;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
50;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Moose  River;99;0.14;Population;1;;11;0.49;0.544;3.889;3.08;48.567314;-82.144845;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
