"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"6820",10782,"Andrena carantonica","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena carantonica","Andrena carantonica","Andrena carantonica"
"6821",10783,"Andrena chrysosceles","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena chrysosceles","Andrena chrysosceles","Andrena chrysosceles"
"6822",10784,"Andrena cineraria","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena cineraria","Andrena cineraria","Andrena cineraria"
"6823",10786,"Andrena clarkella","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena clarkella","Andrena clarkella","Andrena clarkella"
"6824",10788,"Andrena coitana","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena coitana","Andrena coitana","Andrena coitana"
"6825",10789,"Andrena denticulata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena denticulata","Andrena denticulata","Andrena denticulata"
"6826",10791,"Andrena dorsata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena dorsata","Andrena dorsata","Andrena dorsata"
"6827",10793,"Andrena flavipes","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena flavipes","Andrena flavipes","Andrena flavipes"
"6828",10796,"Andrena fucata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena fucata","Andrena fucata","Andrena fucata"
"6829",10797,"Andrena fulva","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena fulva","Andrena fulva","Andrena fulva"
"6830",10798,"Andrena fuscipes","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena fuscipes","Andrena fuscipes","Andrena fuscipes"
"6831",10800,"Andrena haemorrhoa","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena haemorrhoa","Andrena haemorrhoa","Andrena haemorrhoa"
"6832",10801,"Andrena hattorfiana","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena hattorfiana","Andrena hattorfiana","Andrena hattorfiana"
"6833",10802,"Andrena helvola","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena helvola","Andrena helvola","Andrena helvola"
"6834",10804,"Andrena humilis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena humilis","Andrena humilis","Andrena humilis"
"6835",10806,"Andrena labialis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena labialis","Andrena labialis","Andrena labialis"
"6836",10808,"Andrena labiata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena labiata","Andrena labiata","Andrena labiata"
"6837",10810,"Andrena lapponica","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena lapponica","Andrena lapponica","Andrena lapponica"
"6838",10811,"Andrena minutula","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena minutula","Andrena minutula","Andrena minutula"
"6839",10813,"Andrena nigroaenea","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena nigroaenea","Andrena nigroaenea","Andrena nigroaenea"
"6840",10815,"Andrena nitida","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena nitida","Andrena nitida","Andrena nitida"
"6841",10817,"Andrena ovatula","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena ovatula","Andrena ovatula","Andrena ovatula"
"6842",10819,"Andrena praecox","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena praecox","Andrena praecox","Andrena praecox"
"6843",10821,"Andrena proxima","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena proxima","Andrena proxima","Andrena proxima"
"6844",10822,"Andrena semilaevis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena semilaevis","Andrena semilaevis","Andrena semilaevis"
"6845",10823,"Andrena subopaca","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena subopaca","Andrena subopaca","Andrena subopaca"
"6846",10825,"Andrena synadelpha","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena synadelpha","Andrena synadelpha","Andrena synadelpha"
"6847",10827,"Andrena tarsata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena tarsata","Andrena tarsata","Andrena tarsata"
"6848",10828,"Andrena thoracica","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena thoracica","Andrena thoracica","Andrena thoracica"
"6849",10830,"Andrena tibialis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena tibialis","Andrena tibialis","Andrena tibialis"
"6850",10832,"Andrena trimmerana","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena trimmerana","Andrena trimmerana","Andrena trimmerana"
"6851",10834,"Andrena wilkella","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","Andrena wilkella","Andrena wilkella","Andrena wilkella"
"6852",10835,"Androniscus dentiger","other","Animalia","Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Androniscus","Androniscus dentiger","Androniscus dentiger","Androniscus dentiger"
"6853",10840,"Anelosimus vittatus","other","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Anelosimus","Anelosimus vittatus","Anelosimus vittatus","Anelosimus vittatus"
"6854",10841,"Angerona prunaria","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Angerona","Angerona prunaria","Angerona prunaria","Angerona prunaria"
"6855",10850,"Anisosticta novemdecimpunctata","insect","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Anisosticta","Anisosticta novemdecimpunctata","Anisosticta novemdecimpunctata","Anisosticta novemdecimpunctata"
"6856",10854,"Anoplius infuscatus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Anoplius","Anoplius infuscatus","Anoplius infuscatus","Anoplius infuscatus"
"6857",10856,"Anoplius viaticus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Anoplius","Anoplius viaticus","Anoplius viaticus","Anoplius viaticus"
"6858",10858,"Anthidium manicatum","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium","Anthidium manicatum","Anthidium manicatum","Anthidium manicatum"
"6859",10860,"Anthocharis cardamines","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis","Anthocharis cardamines","Anthocharis cardamines","Anthocharis cardamines"
"6860",10866,"Anthophora bimaculata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora","Anthophora bimaculata","Anthophora bimaculata","Anthophora bimaculata"
"6861",10868,"Anthophora furcata","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora","Anthophora furcata","Anthophora furcata","Anthophora furcata"
"6862",10870,"Anthophora plumipes","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora","Anthophora plumipes","Anthophora plumipes","Anthophora plumipes"
"6863",10878,"Antistea elegans","other","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","Antistea","Antistea elegans","Antistea elegans","Antistea elegans"
"6864",10879,"Antitype chi","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Antitype","Antitype chi","Antitype chi","Antitype chi"
"6865",10880,"Apamea anceps","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea anceps","Apamea anceps","Apamea anceps"
"6866",10891,"Apamea furva","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea furva","Apamea furva","Apamea furva"
"6867",10896,"Apamea oblonga","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea oblonga","Apamea oblonga","Apamea oblonga"
"6868",10901,"Apamea ophiogramma","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea ophiogramma","Apamea ophiogramma","Apamea ophiogramma"
"6869",10906,"Apamea remissa","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea remissa","Apamea remissa","Apamea remissa"
"6870",10913,"Apamea sordens","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea sordens","Apamea sordens","Apamea sordens"
"6871",10916,"Apamea sublustris","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea sublustris","Apamea sublustris","Apamea sublustris"
"6872",10922,"Apamea unanimis","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea unanimis","Apamea unanimis","Apamea unanimis"
"6873",10944,"Aphidecta obliterata","insect","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Aphidecta","Aphidecta obliterata","Aphidecta obliterata","Aphidecta obliterata"
"6874",10945,"Aphileta misera","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Aphileta","Aphileta misera","Aphileta misera","Aphileta misera"
"6875",10946,"Apis mellifera","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera","Apis mellifera","Apis mellifera"
"6876",10953,"Aplocera plagiata","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Aplocera","Aplocera plagiata","Aplocera plagiata","Aplocera plagiata"
"6877",10965,"Arachnospila minutula","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Arachnospila","Arachnospila minutula","Arachnospila minutula","Arachnospila minutula"
"6878",10966,"Arachnospila spissa","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Arachnospila","Arachnospila spissa","Arachnospila spissa","Arachnospila spissa"
"6879",10967,"Arachnospila trivialis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Arachnospila","Arachnospila trivialis","Arachnospila trivialis","Arachnospila trivialis"
"6880",10968,"Araeoncus humilis","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Araeoncus","Araeoncus humilis","Araeoncus humilis","Araeoncus humilis"
"6881",10969,"Araneus quadratus","other","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Araneus","Araneus quadratus","Araneus quadratus","Araneus quadratus"
"6882",10986,"Archiearis notha","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Boudinotiana","Boudinotiana notha","Boudinotiana notha","Boudinotiana notha"
"6883",10988,"Archiearis parthenias","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Archiearis","Archiearis parthenias","Archiearis parthenias","Archiearis parthenias"
"6884",10993,"Arctia villica","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctia","Arctia villica","Arctia villica","Arctia villica"
"6885",10999,"Arctophila superbiens","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Sericomyia","Sericomyia superbiens","Sericomyia superbiens","Sericomyia superbiens"
"6886",11002,"Arctosa perita","other","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Arctosa","Arctosa perita","Arctosa perita","Arctosa perita"
"6887",11009,"Argogorytes mystaceus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Crabronidae","Argogorytes","Argogorytes mystaceus","Argogorytes mystaceus","Argogorytes mystaceus"
"6888",11031,"Armadillidium depressum","other","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium depressum","Armadillidium depressum","Armadillidium depressum"
"6889",11033,"Armadillidium nasatum","other","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium nasatum","Armadillidium nasatum","Armadillidium nasatum"
"6890",11037,"Armadillidium pulchellum","other","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium pulchellum","Armadillidium pulchellum","Armadillidium pulchellum"
"6891",11038,"Armadillidium vulgare","other","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Armadillidium vulgare","Armadillidium vulgare"
"6892",11041,"Asaphidion curtum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Asaphidion","Asaphidion curtum","Asaphidion curtum","Asaphidion curtum"
"6893",11042,"Asaphidion stierlini","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Asaphidion","Asaphidion stierlini","Asaphidion stierlini","Asaphidion stierlini"
"6894",11043,"Asellus aquaticus","other","Animalia","Arthropoda","Malacostraca","Isopoda","Asellidae","Asellus","Asellus aquaticus","Asellus aquaticus","Asellus aquaticus"
"6895",11048,"Asilus crabroniformis","insect","Animalia","Arthropoda","Insecta","Diptera","Asilidae","Asilus","Asilus crabroniformis","Asilus crabroniformis","Asilus crabroniformis"
"6896",11049,"Astata boops","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Crabronidae","Astata","Astata boops","Astata boops","Astata boops"
"6897",11057,"Asthena albulata","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Asthena","Asthena albulata","Asthena albulata","Asthena albulata"
"6898",11062,"Atethmia centrago","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Atethmia","Atethmia centrago","Atethmia centrago","Atethmia centrago"
"6899",11067,"Atolmis rubricollis","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Atolmis","Atolmis rubricollis","Atolmis rubricollis","Atolmis rubricollis"
"6900",11072,"Autographa jota","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa jota","Autographa jota","Autographa jota"
"6901",11075,"Axylia putris","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Axylia","Axylia putris","Axylia putris","Axylia putris"
"6902",11082,"Baccha elongata","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Baccha","Baccha elongata","Baccha elongata","Baccha elongata"
"6903",11085,"Badister bullatus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Badister","Badister bullatus","Badister bullatus","Badister bullatus"
"6904",11086,"Bathyphantes approximatus","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Bathyphantes","Bathyphantes approximatus","Bathyphantes approximatus","Bathyphantes approximatus"
"6905",11087,"Bathyphantes gracilis","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Bathyphantes","Bathyphantes gracilis","Bathyphantes gracilis","Bathyphantes gracilis"
"6906",11088,"Bathyphantes nigrinus","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Bathyphantes","Bathyphantes nigrinus","Bathyphantes nigrinus","Bathyphantes nigrinus"
"6907",11089,"Bathyphantes parvulus","other","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Bathyphantes","Bathyphantes parvulus","Bathyphantes parvulus","Bathyphantes parvulus"
"6908",11090,"Bembidion aeneum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion aeneum","Bembidion aeneum","Bembidion aeneum"
"6909",11091,"Bembidion articulatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion articulatum","Bembidion articulatum","Bembidion articulatum"
"6910",11093,"Bembidion assimile","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion assimile","Bembidion assimile","Bembidion assimile"
"6911",11095,"Bembidion biguttatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion biguttatum","Bembidion biguttatum","Bembidion biguttatum"
"6912",11096,"Bembidion clarkii","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion clarkii","Bembidion clarkii","Bembidion clarkii"
"6913",11097,"Bembidion deletum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion deletum","Bembidion deletum","Bembidion deletum"
"6914",11098,"Bembidion dentellum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion dentellum","Bembidion dentellum","Bembidion dentellum"
"6915",11100,"Bembidion doris","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion doris","Bembidion doris","Bembidion doris"
"6916",11101,"Bembidion femoratum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion femoratum","Bembidion femoratum","Bembidion femoratum"
"6917",11102,"Bembidion fumigatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion fumigatum","Bembidion fumigatum","Bembidion fumigatum"
"6918",11103,"Bembidion gilvipes","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion gilvipes","Bembidion gilvipes","Bembidion gilvipes"
"6919",11104,"Bembidion guttula","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion guttula","Bembidion guttula","Bembidion guttula"
"6920",11105,"Bembidion illigeri","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion genei","Bembidion genei","Bembidion genei"
"6921",11107,"Bembidion iricolor","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion iricolor","Bembidion iricolor","Bembidion iricolor"
"6922",11108,"Bembidion lampros","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion lampros","Bembidion lampros","Bembidion lampros"
"6923",11109,"Bembidion lunulatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion lunulatum","Bembidion lunulatum","Bembidion lunulatum"
"6924",11110,"Bembidion mannerheimii","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion mannerheimii","Bembidion mannerheimii","Bembidion mannerheimii"
"6925",11111,"Bembidion minimum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion minimum","Bembidion minimum","Bembidion minimum"
"6926",11112,"Bembidion normannum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion normannum","Bembidion normannum","Bembidion normannum"
"6927",11113,"Bembidion obtusum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion obtusum","Bembidion obtusum","Bembidion obtusum"
"6928",11115,"Bembidion properans","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion properans","Bembidion properans","Bembidion properans"
"6929",11116,"Bembidion punctulatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion punctulatum","Bembidion punctulatum","Bembidion punctulatum"
"6930",11117,"Bembidion quadrimaculatum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion quadrimaculatum","Bembidion quadrimaculatum","Bembidion quadrimaculatum"
"6931",11119,"Bembidion tetracolum","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion tetracolum","Bembidion tetracolum","Bembidion tetracolum"
"6932",11120,"Bembidion varium","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion varium","Bembidion varium","Bembidion varium"
"6933",11128,"Beris chalybata","insect","Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Beris","Beris chalybata","Beris chalybata","Beris chalybata"
"6934",11129,"Beris fuscipes","insect","Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Beris","Beris fuscipes","Beris fuscipes","Beris fuscipes"
"6935",11130,"Beris morrisii","insect","Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Beris","Beris morrisii","Beris morrisii","Beris morrisii"
"6936",11132,"Biston betularia","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Biston","Biston betularia","Biston betularia","Biston betularia"
"6937",11140,"Blaniulus guttulatus","other","Animalia","Arthropoda","Diplopoda","Julida","Blaniulidae","Blaniulus","Blaniulus guttulatus","Blaniulus guttulatus","Blaniulus guttulatus"
"6938",11142,"Blepharita adusta","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Blepharita","Blepharita adusta","Blepharita adusta","Blepharita adusta"
"6939",11143,"Boloria euphrosyne","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria euphrosyne","Boloria euphrosyne","Boloria euphrosyne"
"6940",11149,"Boloria selene","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria selene","Boloria selene","Boloria selene"
"6941",11152,"Bombus barbutellus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus barbutellus","Bombus barbutellus","Bombus barbutellus"
"6942",11154,"Bombus bohemicus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus bohemicus","Bombus bohemicus","Bombus bohemicus"
"6943",11155,"Bombus campestris","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus campestris","Bombus campestris","Bombus campestris"
"6944",11157,"Bombus humilis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus humilis","Bombus humilis","Bombus humilis"
"6945",11159,"Bombus lapidarius","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus lapidarius","Bombus lapidarius","Bombus lapidarius"
"6946",11160,"Bombus muscorum","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus muscorum","Bombus muscorum","Bombus muscorum"
"6947",11161,"Bombus pratorum","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus pratorum","Bombus pratorum","Bombus pratorum"
"6948",11162,"Bombus ruderarius","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus ruderarius","Bombus ruderarius","Bombus ruderarius"
"6949",11164,"Bombus rupestris","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus rupestris","Bombus rupestris","Bombus rupestris"
"6950",11165,"Bombus sylvestris","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus sylvestris","Bombus sylvestris","Bombus sylvestris"
"6951",11166,"Bombus terrestris","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus terrestris","Bombus terrestris","Bombus terrestris"
"6952",11167,"Bombus vestalis","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus vestalis","Bombus vestalis","Bombus vestalis"
"6953",11169,"Bombylius major","insect","Animalia","Arthropoda","Insecta","Diptera","Bombyliidae","Bombylius","Bombylius major","Bombylius major","Bombylius major"
"6954",11173,"Brachydesmus superus","other","Animalia","Arthropoda","Diplopoda","Polydesmida","Polydesmidae","Brachydesmus","Brachydesmus superus","Brachydesmus superus","Brachydesmus superus"
"6955",11175,"Brachylomia viminalis","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Brachylomia","Brachylomia viminalis","Brachylomia viminalis","Brachylomia viminalis"
"6956",11176,"Brachyopa insensilis","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Brachyopa","Brachyopa insensilis","Brachyopa insensilis","Brachyopa insensilis"
"6957",11177,"Brachyopa scutellaris","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Brachyopa","Brachyopa scutellaris","Brachyopa scutellaris","Brachyopa scutellaris"
"6958",11181,"Brachypalpoides lentus","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Brachypalpoides","Brachypalpoides lentus","Brachypalpoides lentus","Brachypalpoides lentus"
"6959",11183,"Brachypalpus laphriformis","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Brachypalpus","Brachypalpus laphriformis","Brachypalpus laphriformis","Brachypalpus laphriformis"
"6960",11185,"Brachytron pratense","insect","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Brachytron","Brachytron pratense","Brachytron pratense","Brachytron pratense"
"6961",11191,"Bradycellus harpalinus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bradycellus","Bradycellus harpalinus","Bradycellus harpalinus","Bradycellus harpalinus"
"6962",11192,"Bradycellus ruficollis","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bradycellus","Bradycellus ruficollis","Bradycellus ruficollis","Bradycellus ruficollis"
"6963",11193,"Bradycellus verbasci","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bradycellus","Bradycellus verbasci","Bradycellus verbasci","Bradycellus verbasci"
"6964",11195,"Broscus cephalotes","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Broscus","Broscus cephalotes","Broscus cephalotes","Broscus cephalotes"
"6965",11196,"Bupalus piniaria","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Bupalus","Bupalus piniaria","Bupalus piniaria","Bupalus piniaria"
"6966",11198,"Burhinus oedicnemus","bird","Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus"
"6967",11204,"Cabera exanthemata","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cabera","Cabera exanthemata","Cabera exanthemata","Cabera exanthemata"
"6968",11205,"Calathus ambiguus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus ambiguus","Calathus ambiguus","Calathus ambiguus"
"6969",11206,"Calathus cinctus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus cinctus","Calathus cinctus","Calathus cinctus"
"6970",11207,"Calathus erratus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus erratus","Calathus erratus","Calathus erratus"
"6971",11208,"Calathus melanocephalus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus melanocephalus","Calathus melanocephalus","Calathus melanocephalus"
"6972",11209,"Calathus mollis","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus mollis","Calathus mollis","Calathus mollis"
"6973",11210,"Calathus rotundicollis","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus rotundicollis","Calathus rotundicollis","Calathus rotundicollis"
"6974",11212,"Caliadurgus fasciatellus","insect","Animalia","Arthropoda","Insecta","Hymenoptera","Pompilidae","Caliadurgus","Caliadurgus fasciatellus","Caliadurgus fasciatellus","Caliadurgus fasciatellus"
"6975",11216,"Callicera aurata","insect","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Callicera","Callicera aurata","Callicera aurata","Callicera aurata"
"6976",11222,"Callistege mi","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euclidia","Euclidia mi","Euclidia mi","Euclidia mi"
"6977",11233,"Callophrys rubi","insect","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","Callophrys rubi","Callophrys rubi","Callophrys rubi"
"6978",11239,"Calodromius spilotus","insect","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calodromius","Calodromius spilotus","Calodromius spilotus","Calodromius spilotus"
