"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"53",183,"Nerita costata","other","Animalia","Mollusca","Gastropoda","Cycloneritida","Neritidae","Nerita","Nerita costata","Nerita costata","Nerita costata"
"54",184,"Nerita melanotragus","other","Animalia","Mollusca","Gastropoda","Cycloneritida","Neritidae","Nerita","Nerita melanotragus","Nerita melanotragus","Nerita melanotragus"
"55",185,"Notoacmea petterdi","other","Animalia","Mollusca","Gastropoda",NA,"Acmaeidae","Notoacmea","Notoacmea petterdi","Notoacmea petterdi","Notoacmea petterdi"
"56",186,"Patelloida cryptalirata","other","Animalia","Mollusca","Gastropoda","Lottiidae","Patelloida","Patelloida cryptalirata","Patelloida cryptalirata","Patelloida cryptalirata","Patelloida cryptalirata"
"57",187,"Patelloida latistrigata","other","Animalia","Mollusca","Gastropoda",NA,"Lottiidae","Patelloida","Patelloida latistrigata","Patelloida latistrigata","Patelloida latistrigata"
"58",188,"Patelloida saccharina stella","other","Animalia","Mollusca","Gastropoda","Lottiidae","Patelloida","Patelloida saccharina","Patelloida saccharina","Patelloida saccharina","Patelloida saccharina stella"
"59",189,"Patiriella calcar","other","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Meridiastra","Meridiastra calcar","Meridiastra calcar","Meridiastra calcar"
"60",190,"Pyura praeputialis","other","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Pyura","Pyura praeputialis","Pyura praeputialis","Pyura praeputialis"
"61",191,"Scutus antipodes","other","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Scutus","Scutus antipodes","Scutus antipodes","Scutus antipodes"
"62",192,"Siphonaria funiculata","other","Animalia","Mollusca","Gastropoda","Siphonariida","Siphonariidae","Siphonaria","Siphonaria funiculata","Siphonaria funiculata","Siphonaria funiculata"
"63",193,"Tetraclitella purpurascens","other","Animalia","Arthropoda","Hexanauplia","Sessilia","Tetraclitidae","Tetraclitella","Tetraclitella purpurascens","Tetraclitella purpurascens","Tetraclitella purpurascens"
"64",194,"Turbo cinereus","other","Animalia","Mollusca","Gastropoda","Trochida","Turbinidae","Turbo","Turbo cinereus","Turbo cinereus","Turbo cinereus"
"65",195,"Achillea millefolium","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium","Achillea millefolium"
"66",196,"Aconitum lycoctonum","plant","Plantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum","Aconitum lycoctonum","Aconitum lycoctonum","Aconitum lycoctonum"
"67",198,"Agrostis capillaris","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris"
"68",199,"Agrostis mertensii","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis mertensii","Agrostis mertensii","Agrostis mertensii"
"69",201,"Alchemilla alpina","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla alpina","Alchemilla alpina","Alchemilla alpina"
"70",202,"Alchemilla vulgaris","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris"
"71",203,"Andromeda polifolia","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Andromeda","Andromeda polifolia","Andromeda polifolia","Andromeda polifolia"
"72",204,"Angelica archangelica","plant","Plantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Angelica","Angelica archangelica","Angelica archangelica","Angelica archangelica"
"73",206,"Antennaria alpina","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria alpina","Antennaria alpina","Antennaria alpina"
"74",208,"Antennaria dioica","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria dioica","Antennaria dioica","Antennaria dioica"
"75",209,"Anthoxanthum odoratum","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum"
"76",211,"Arctostaphylos uva-ursi","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi"
"77",212,"Arctous alpinus","plant","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Arctous","Arctous alpinus","Arctous alpinus","Arctous alpinus"
"78",215,"Astragalus alpinus","plant","Plantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Astragalus","Astragalus alpinus","Astragalus alpinus","Astragalus alpinus"
"79",217,"Avenella flexuosa","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Avenella","Avenella flexuosa","Avenella flexuosa","Avenella flexuosa"
"80",219,"Bartsia alpina","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Bartsia alpina","Bartsia alpina"
"81",220,"Beckwithia glacialis","plant","Plantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus glacialis","Ranunculus glacialis","Ranunculus glacialis"
"82",222,"Betula nana","plant","Plantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula nana","Betula nana","Betula nana"
"83",224,"Betula pubescens","plant","Plantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pubescens","Betula pubescens","Betula pubescens"
"84",226,"Calamagrostis phragmitoides","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Calamagrostis","Calamagrostis phragmitoides","Calamagrostis phragmitoides","Calamagrostis phragmitoides"
"85",227,"Carex bigelowii","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex bigelowii","Carex bigelowii","Carex bigelowii"
"86",228,"Carex canescens","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex canescens","Carex canescens","Carex canescens"
"87",229,"Carex dioica","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex dioica","Carex dioica","Carex dioica"
"88",230,"Carex lachenalii","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex lachenalii","Carex lachenalii","Carex lachenalii"
"89",233,"Carex nigra","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex nigra","Carex nigra","Carex nigra"
