"PopId","RefID","Year","TaxaClass","Family","Genus","Species","G_s","Common","Continent","Country","Location","n","FST","GlobalFST","PopsCombo","GroupedCoord","Ho","He","MNA","AR","Lat","Long","Msats","spp","spp_new"
33,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Grays Harbor","82","1.4999999999999999E-2","Population",1,NA,"0.56100000000000005","0.68600000000000005","11.6","NA",46.912191,-123.304916,"10","Acipenser medirostris","Acipenser medirostris"
34,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Klamath River","35","3.4000000000000002E-2","Population",1,NA,"0.624","0.71799999999999997","9","NA",41.823537,-122.967691,"10","Acipenser medirostris","Acipenser medirostris"
35,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Rogue River","34","3.2000000000000001E-2","Population",1,NA,"0.61499999999999999","0.72299999999999998","8.6","NA",42.438321,-122.905805,"10","Acipenser medirostris","Acipenser medirostris"
36,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Sacramento River-San Pablo Bay","148","3.5999999999999997E-2","Population",2,"Middle","0.54","0.63","8.9","NA",38.066571,-121.787786,"10","Acipenser medirostris","Acipenser medirostris"
37,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Willapa Bay","98","2.3E-2","Population",1,NA,"0.56000000000000005","0.64","11.2","NA",46.529923,-123.97094,"10","Acipenser medirostris","Acipenser medirostris"
38,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Winchester Bay","22","2.1999999999999999E-2","Population",1,NA,"0.61399999999999999","0.72599999999999998","8.8000000000000007","NA",43.689358,-124.178125,"10","Acipenser medirostris","Acipenser medirostris"
39,"R7",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","USA","Delaware River","42","0.105","Population",1,NA,"0.626","NA","7.4","NA",39.614963,-75.578041,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
40,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","USA","Albermarle Sound","34","0.185","Population",1,NA,"0.53800000000000003","NA","9.6999999999999993","NA",36.019189,-76.273956,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
41,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","USA","Altamaha River","37","0.13600000000000001","Population",1,NA,"0.63700000000000001","NA","5.0999999999999996","NA",31.335213,-81.393757,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
42,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","USA","Hudson River","54","0.123","Population",1,NA,"0.61599999999999999","NA","7.1","NA",41.049393,-73.895416,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
43,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","CAN","St John River","39","0.122","Population",1,NA,"0.56299999999999994","NA","6.4","NA",45.318615,-66.178551,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
44,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","CAN","St Lawrence","39","0.17799999999999999","Population",1,NA,"0.443","NA","4.5999999999999996","NA",48.607732,-68.779907,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
45,"R7 & R11",2001,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Gulf sturgeon","NAm","USA","Suwannee River","44","0.25700000000000001","Population",1,NA,"0.46400000000000002","NA","5.3","NA",29.316987,-83.113117,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
46,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Albany River","42","0.09","Population",1,NA,"0.44600000000000001","0.51800000000000002","3.222","2.7",50.557877,-89.412401,"9","Acipenser fulvescens","Acipenser fulvescens"
47,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Berens Lake","12","0.28000000000000003","Population",1,NA,"0.28699999999999998","0.3","2.444","2.1800000000000002",51.77378,-93.68039,"9","Acipenser fulvescens","Acipenser fulvescens"
48,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Chippewa  River","49","0.11","Population",1,NA,"0.44600000000000001","0.439","4.2220000000000004","2.94",44.939711,-91.34305,"9","Acipenser fulvescens","Acipenser fulvescens"
49,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Lake of the Woods/Rainy River","94","0.1","Population",2,"Middle","0.372","0.45","3.8330000000000002","2.87",49.570327,-94.506714,"9","Acipenser fulvescens","Acipenser fulvescens"
50,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Moose  River","99","0.14000000000000001","Population",1,NA,"0.49","0.54400000000000004","3.8889999999999998","3.08",48.567314,-82.144845,"9","Acipenser fulvescens","Acipenser fulvescens"
51,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Nelson River  Lake Sipiwesk","59","0.14000000000000001","Population",1,NA,"0.39600000000000002","0.47799999999999998","4.1109999999999998","2.9",55.088,-97.576,"9","Acipenser fulvescens","Acipenser fulvescens"
52,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Nottaway River","90","0.12","Population",1,NA,"0.45100000000000001","0.51","3.778","3.09",49.816316,-77.656203,"9","Acipenser fulvescens","Acipenser fulvescens"
53,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Pic River","46","0.1","Population",1,NA,"0.44900000000000001","0.55500000000000005","4.2220000000000004","3.22",48.603956,-86.294251,"9","Acipenser fulvescens","Acipenser fulvescens"
54,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Saskatchewan River","129","0.09","Population",1,NA,"0.42199999999999999","0.47","3.6669999999999998","2.9",54.045756,-112.212979,"9","Acipenser fulvescens","Acipenser fulvescens"
55,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","St. Lawrence River","38","0.12","Population",1,NA,"0.47299999999999998","0.52300000000000002","5","3.46",46.059,-73.067,"9","Acipenser fulvescens","Acipenser fulvescens"
56,"R8",2009,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Winnipeg River Numao Lake","113","0.09","Population",3,"One Pop","0.498","0.55000000000000004","4.0090000000000003","3.24",50.171,-95.633,"9","Acipenser fulvescens","Acipenser fulvescens"
57,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Arrow L","20","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",50.727566,-117.788491,"4","Acipenser transmontanus","Acipenser transmontanus"
58,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Kootenay L.","50","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",49.636308,-116.901345,"4","Acipenser transmontanus","Acipenser transmontanus"
59,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Kootenay R","50","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",49.35825,-117.569451,"4","Acipenser transmontanus","Acipenser transmontanus"
60,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","USA","Lower Columbia River","50","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",46.229214,-123.649886,"4","Acipenser transmontanus","Acipenser transmontanus"
61,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Lower Fraser","157","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",49.200329,-123.111015,"4","Acipenser transmontanus","Acipenser transmontanus"
62,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Middle Fraser","206","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",49.969885,-121.506668,"4","Acipenser transmontanus","Acipenser transmontanus"
63,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Nechako River + Fraser 9","93","5.8000000000000003E-2","Global",2,"Middle","NA","NA","NA","NA",50.762633,-121.898056,"4","Acipenser transmontanus","Acipenser transmontanus"
64,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Upper Columbia R","50","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",49.31591,-117.654098,"4","Acipenser transmontanus","Acipenser transmontanus"
65,"R9",2002,"Freshwater","Acipenseridae","Acipenser","transmontanus","Acipenser_transmontanus","White sturgeon","NAm","CAN","Upper Fraser (8)","10","5.8000000000000003E-2","Global",1,NA,"NA","NA","NA","NA",50.675034,-121.919342,"4","Acipenser transmontanus","Acipenser transmontanus"
66,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Bad River + White River","179","0.13100000000000001","Population",2,"One Pop - Bigger N","NA","0.56000000000000005","NA","NA",46.563243,-90.415261,"12","Acipenser fulvescens","Acipenser fulvescens"
67,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Black River","11","5.7599999999999998E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",44.000968,-76.000405,"12","Acipenser fulvescens","Acipenser fulvescens"
68,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Black Sturgeon River","58","9.3299999999999994E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",49.069025,-88.281944,"12","Acipenser fulvescens","Acipenser fulvescens"
69,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Des Prairies River + St Lawrence","69","6.83E-2","Population",2,"One Pop - Bigger N","NA","0.56000000000000005","NA","4.07",45.704093,-73.498111,"12","Acipenser fulvescens","Acipenser fulvescens"
70,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Detroit River+St Clair+Lower Niagara River","113","6.3299999999999995E-2","Population",3,"Middle","NA","0.56000000000000005","NA","NA",42.300415,-83.084871,"12","Acipenser fulvescens","Acipenser fulvescens"
