"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.044";-0.444461640988206;0.118436258902656;-0.447331733875946;-0.671721929932539;-0.201399472742;0.00170000000000003;0.9983
"0.045";-0.455726188751837;0.121481860647695;-0.458574520317179;-0.688070959022453;-0.206668672461154;0.00170000000000003;0.9983
"0.046";-0.466990736515469;0.124532317528464;-0.469932198660084;-0.705341051660346;-0.211926274518581;0.00170000000000003;0.9983
"0.047";-0.4782552842791;0.127587281304247;-0.481405081300685;-0.722073607338106;-0.21656421644954;0.00170000000000003;0.9983
"0.048";-0.489519832042731;0.130646435815228;-0.492796141552867;-0.73907755413916;-0.220946700157554;0.00170000000000003;0.9983
"0.049";-0.500784379806363;0.133709493420816;-0.50413218409293;-0.756477742469057;-0.225880227891219;0.00170000000000003;0.9983
"0.05";-0.512048927569994;0.136776191895719;-0.51533320943566;-0.773675504627627;-0.231280649499071;0.00170000000000003;0.9983
"0.051";-0.523313475333625;0.139846291717559;-0.526608823458042;-0.790400465980429;-0.235986029687644;0.00170000000000003;0.9983
"0.052";-0.534578023097257;0.14291957369033;-0.537971098274322;-0.806664125677026;-0.240132777369271;0.00180000000000002;0.9982
"0.053";-0.545842570860888;0.145995836856786;-0.549508532154619;-0.823130435127221;-0.244833571563598;0.00180000000000002;0.9982
"0.054";-0.557107118624519;0.149074896660088;-0.560857562069486;-0.840687932585354;-0.249562723777063;0.00180000000000002;0.9982
