"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.019";0.14488488482052;0.0441565635427665;0.143980271472328;0.0607120804685252;0.235635427624011;0.9999;9.9999999999989e-05
"0.02";0.13287692579161;0.0464690179815049;0.131912952790693;0.0448504311444267;0.228656000674568;0.9982;0.00180000000000002
"0.021";0.1208689667627;0.048820770330671;0.119713287139383;0.0282918452363953;0.221128652448876;0.995;0.005
"0.022";0.10886100773379;0.0512064063809449;0.10739842174931;0.0116852575998176;0.21417155835928;0.9862;0.0138
"0.023";0.0968530487048798;0.0536214038279162;0.0952939521089242;-0.00485156122208928;0.206730387510587;0.969;0.031
"0.024";0.0848450896759697;0.0560619683721336;0.0830564042829719;-0.0209017366728911;0.199959047021781;0.9406;0.0594
"0.025";0.0728371306470595;0.058524901557332;0.070936157409512;-0.0373277310683511;0.193114103659929;0.8979;0.1021
"0.026";0.0608291716181494;0.0610074943108496;0.0589098311379973;-0.0540628185722977;0.185711513375265;0.8439;0.1561
"0.027";0.0488212125892393;0.0635074411162734;0.0467713671926133;-0.0706207971481583;0.178490863886632;0.7813;0.2187
"0.028";0.0368132535603292;0.0660227706737696;0.034594353077293;-0.0874311787368976;0.171686886142105;0.7036;0.2964
"0.029";0.024805294531419;0.0685517897140626;0.0223822039827641;-0.10396170353607;0.164695573110193;0.6317;0.3683
"0.03";0.012797335502509;0.071093037308984;0.0101090478624936;-0.120795856331853;0.158052935014814;0.5587;0.4413
"0.031";0.000789376473598822;0.0736452475716375;-0.00193262262540692;-0.137254055433296;0.150891372481532;0.4908;0.5092
"0.032";-0.0112185825553113;0.07620731907904;-0.0141125266618291;-0.15354127124951;0.144293230661092;0.4308;0.5692
"0.033";-0.0232265415842214;0.0787782896983496;-0.026041757395411;-0.170586124657677;0.137661850988481;0.3779;0.6221
"0.034";-0.0352345006131316;0.0813573157720633;-0.0379801684508603;-0.187648954612228;0.130679258889545;0.326;0.674
"0.035";-0.0472424596420417;0.0839436548330426;-0.0502296457807316;-0.204564180516024;0.124122398503145;0.2841;0.7159
"0.036";-0.0592504186709519;0.0865366511894147;-0.0622397041576854;-0.221668563622938;0.11767021495438;0.2453;0.7547
"0.037";-0.0712583776998619;0.0891357238523562;-0.0745366735411698;-0.238753217670713;0.110794834346532;0.2085;0.7915
