"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
0.39;0.39;0.00552660261707134;0.00722872100924842;1.34827687351159;1.39912423271745;TRUE;1646
0.39;0.39;0.00539020483435927;0.0070451361323086;1.31291020844505;1.34392500462004;TRUE;6919
0.39;0.39;0.0053056205131371;0.00685885320691479;1.28508267424704;1.32737604753945;TRUE;10214
0.39;0.39;0.0054456124490874;0.00706354881136413;1.34255839644755;1.39019872871117;TRUE;5787
0.39;0.39;0.00568499648256131;0.00746635561937223;1.32594313239004;1.38417014818278;TRUE;1362
0.39;0.39;0.00566272953681332;0.00750272301148303;1.29412760341064;1.34267276683735;TRUE;6941
0.38;0.38;0.00534903025440724;0.00707546279675585;1.32894879178409;1.36814858645479;TRUE;2333
0.41;0.41;0.0055566995593818;0.00724675119869858;1.32723381052257;1.35092450763369;TRUE;6101
0.41;0.41;0.00532764059588119;0.00683178550614927;1.29954079140217;1.35679515854593;TRUE;11129
0.41;0.41;0.00542605568235352;0.00696096749829079;1.32899563059314;1.37790806153569;TRUE;9820
0.4;0.4;0.00552752423262192;0.00721565904574197;1.35040262679215;1.36674582211127;TRUE;11314
0.4;0.4;0.0054551323715246;0.00722286045648091;1.29309757309718;1.34657578737117;TRUE;4762
0.4;0.4;0.00562784603145034;0.00720075033154286;1.30080166985204;1.34230439006067;TRUE;33
0.39;0.39;0.00532493736176572;0.00701146147168305;1.30047335097316;1.32700991104796;TRUE;1671
0.42;0.42;0.00535236035998787;0.00709186419551885;1.28670067044487;1.32583258008522;TRUE;946
0.39;0.39;0.0055733764358319;0.00727122404488946;1.35083755536569;1.39814106243746;TRUE;10564
0.41;0.41;0.00558690981031903;0.00734056637974917;1.28536804866247;1.31400161861048;TRUE;1117
0.39;0.39;0.00539139981946119;0.00701754233728571;1.31140158409921;1.35841102031167;TRUE;6744
0.4;0.4;0.00550560248472989;0.00739460359097576;1.3239557354045;1.34644836341163;TRUE;3379
0.38;0.38;0.00550441242933081;0.00720205616311811;1.29799152678158;1.3440155818105;TRUE;6838
0.39;0.39;0.00536624236150766;0.0071183159752019;1.28746290968262;1.35270898538645;TRUE;5455
0.4;0.4;0.00541141956487086;0.00708135512510086;1.31186013910438;1.34720038363638;TRUE;11971
0.4;0.4;0.00544576566755772;0.00716521442842464;1.36660063826975;1.40190452053107;TRUE;347
0.39;0.39;0.00546775139161318;0.00720672691742499;1.31652065343896;1.34650615315456;TRUE;2090
0.41;0.41;0.00543991569167564;0.0070242813717927;1.31690266858919;1.34443240948932;TRUE;7502
0.4;0.4;0.00538746240029387;0.00713736246432596;1.27845702763265;1.31753367912955;TRUE;9633
0.4;0.4;0.00521186007029815;0.00687553865704545;1.25218724027882;1.30817746089415;TRUE;5481
0.4;0.4;0.00534442923824229;0.00690125131775748;1.3466416000229;1.42767333098017;TRUE;729
