"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
0.4;0.4;0.00552363970479113;0.00716829918430663;1.32483373262832;1.37163501137513;TRUE;30
0.41;0.41;0.00556692685645446;0.00719399726686058;1.33111802569693;1.36638990474594;TRUE;31
0.4;0.4;0.00535499484647693;0.00697593279416293;1.30117921301114;1.36026986451691;TRUE;32
0.38;0.38;0.0055591612520902;0.00723098879256775;1.34927854057373;1.3916073044783;TRUE;33
0.39;0.39;0.00540503494040761;0.00700488663915153;1.26566532811162;1.30057236394658;TRUE;34
0.38;0.38;0.00555748363690308;0.0073337180490421;1.28940406067508;1.35488075517981;TRUE;35
0.39;0.39;0.00527801426468104;0.00687598410550361;1.29550339400724;1.33646814439483;TRUE;36
0.39;0.39;0.00534368369858952;0.00714672525079468;1.29715157639312;1.31708699703489;TRUE;37
0.35;0.35;0.00535537238772425;0.00718626905146409;1.2827573835668;1.3259632256883;TRUE;38
0.37;0.37;0.00550734993643269;0.00723337084342474;1.29252937436048;1.33672174188292;TRUE;39
0.42;0.42;0.00532353483894804;0.00685535734569985;1.31705878112691;1.35414995252155;TRUE;40
0.4;0.4;0.0053901659605203;0.00715995243395473;1.32398575484113;1.35863612889076;TRUE;41
0.39;0.39;0.00525457368231731;0.00690135076292167;1.29081071451184;1.3233839246069;TRUE;42
0.38;0.38;0.00524811275181826;0.00662285819192653;1.30834274025954;1.36332861626689;TRUE;43
0.41;0.41;0.00551400202041446;0.00728846916077026;1.29149688750055;1.31084802226259;TRUE;44
0.37;0.37;0.00537997347714271;0.00692613258629182;1.34856311436387;1.38268605094974;TRUE;45
0.38;0.38;0.00558557776862072;0.00733138930910586;1.30003995413864;1.34534148079933;TRUE;46
0.42;0.42;0.00567771365621027;0.00743419566574873;1.27543955943506;1.2919021019646;TRUE;47
0.39;0.39;0.00540352744547819;0.00709751013706968;1.31436636115575;1.35958607339977;TRUE;48
0.41;0.41;0.00539027532509509;0.00700021222987341;1.3284403963645;1.35724940526598;TRUE;49
0.42;0.42;0.00570368124342707;0.00762444286062205;1.287677114102;1.32268557201279;TRUE;50
0.38;0.38;0.00530089358787096;0.00697924367871511;1.33768612151719;1.34756404219859;TRUE;51
0.39;0.39;0.00530129597256427;0.00694020655334068;1.31648935015843;1.38149408989734;TRUE;52
0.4;0.4;0.00553786206387774;0.0073962722623696;1.30874822347594;1.35149877783493;TRUE;53
0.39;0.39;0.00532751817337271;0.00692288117984219;1.32647634680995;1.37409354278008;TRUE;54
0.37;0.37;0.00541802427757282;0.00731223234559004;1.29720991608754;1.35579491807918;TRUE;55
0.37;0.37;0.00552801523447648;0.00715708720965705;1.29858406304877;1.35423596712106;TRUE;56
0.37;0.37;0.00549854919096312;0.00722172166222753;1.29696853453811;1.34554455015181;TRUE;57
0.42;0.42;0.00535433227926252;0.00704020025075788;1.35469506687798;1.36699486974129;TRUE;58
0.39;0.39;0.00540929289508125;0.00718312015043867;1.32512248276103;1.36927564266785;TRUE;59
0.36;0.36;0.00568112549182388;0.00744156911339447;1.30443159372285;1.32534009730119;TRUE;60
0.4;0.4;0.00531078254606923;0.00712390019652895;1.29928073179293;1.33713197476479;TRUE;61
0.39;0.39;0.00552812443895917;0.00716222969629451;1.30942753511659;1.35037037912008;TRUE;62
0.39;0.39;0.00536950752890769;0.00704027071319011;1.28041177175482;1.32647180064478;TRUE;63
0.39;0.39;0.00544615540290137;0.00702935820446169;1.30827179543373;1.34108268569712;TRUE;64
0.38;0.38;0.00541630100287896;0.00709329401165739;1.26952846400483;1.28687794196628;TRUE;65
0.39;0.39;0.00551042698609999;0.00727663424077205;1.3586213912184;1.37877349971197;TRUE;66
0.4;0.4;0.0054180329550685;0.00706688583804193;1.29012227578885;1.35068200603385;TRUE;67
0.41;0.41;0.00553506631897625;0.00723242121505636;1.32998396814484;1.36140251465861;TRUE;68
0.39;0.39;0.00519012399941933;0.00686254716786437;1.33985590569897;1.35861556184897;TRUE;69
0.38;0.38;0.00535840421259105;0.00688621224061498;1.34192684088072;1.38615536218124;TRUE;70
0.41;0.41;0.00549529352856484;0.00733373275224646;1.33056590703109;1.38250767463995;TRUE;71
0.39;0.39;0.00550013170100563;0.00701874514044379;1.3271812683842;1.37228676695424;TRUE;72
0.38;0.38;0.00530477805086429;0.00707887637661736;1.31150659381319;1.4041403026157;TRUE;73
0.39;0.39;0.00555197153016544;0.00720004199979151;1.32175567111354;1.35824193582527;TRUE;74
0.38;0.38;0.00528308795935567;0.00692373911675641;1.31681796102467;1.3395027625406;TRUE;75
0.4;0.4;0.00570407385163967;0.00729383150126699;1.28782668853291;1.33766950008119;TRUE;76
0.37;0.37;0.00548321898983577;0.00712490051767073;1.2905290431144;1.33557757952962;TRUE;77
0.41;0.41;0.00544996944655548;0.00709125149512783;1.28725486878009;1.37763952707033;TRUE;78
0.38;0.38;0.00546257402770143;0.00710405281003199;1.29191182426975;1.36792163146326;TRUE;79
0.4;0.4;0.00538785637095844;0.00725583817500722;1.2734033396885;1.31738015897756;TRUE;80
0.41;0.41;0.00550142293194587;0.00715162187126152;1.32676428593025;1.3755712955108;TRUE;81
0.4;0.4;0.00538331160716824;0.00702823832166268;1.3006039772207;1.35138725651535;TRUE;82
0.4;0.4;0.00531503874039237;0.00696224132210642;1.33620511412151;1.38102546192749;TRUE;83
0.39;0.39;0.00551721594373923;0.00733360772191814;1.30553666401596;1.34018678677982;TRUE;84
0.39;0.39;0.00523474607808844;0.00697419784294151;1.30268191900767;1.35450190162286;TRUE;85
0.4;0.4;0.00535314622020725;0.00703983187707285;1.33349470903703;1.38073641694342;TRUE;86
0.4;0.4;0.00542554615391501;0.00734767566353293;1.31736493755105;1.36195981779544;TRUE;87
0.39;0.39;0.00554802859970413;0.00747723043443918;1.26542530619705;1.31306489754965;TRUE;88
0.39;0.39;0.0055740420122759;0.00728455956680137;1.31405518856983;1.34763361745696;TRUE;89
0.4;0.4;0.00534098862502594;0.0070955144513871;1.3105333479913;1.34926871598994;TRUE;90
0.42;0.42;0.00556006999658227;0.00730041516414222;1.29482056749712;1.3450744923669;TRUE;91
0.39;0.39;0.00547927208193538;0.00710033482855513;1.33069915536359;1.37985983083345;TRUE;92
0.38;0.38;0.00542650080084465;0.00717432702976883;1.30619888809279;1.35466127345314;TRUE;93
0.39;0.39;0.00546262062679435;0.00703475338032947;1.30352910900065;1.33743964626779;TRUE;94
0.38;0.38;0.00557557815292846;0.00740100882735889;1.32769206166238;1.39441204212883;TRUE;95
0.39;0.39;0.00545466063054832;0.00718089529485605;1.30286077861135;1.31698000325043;TRUE;96
0.37;0.37;0.00566037933233462;0.00752742986155506;1.34467339345883;1.39408151613311;TRUE;97
